State,Overall,OverallSE,White,WhiteSE,Black,BlackSE,Hispanic,HispanicSE,Asian,AsianSE,Multiracial,MultiracialSE,Degree
United States ,88.638948,0.041469,93.32284,0.033483,87.278341,0.0967,70.523326,0.153199,87.859177,0.124379,91.877881,0.180773,High School
Alabama ,86.912988,0.249595,88.904687,0.303036,84.604128,0.532215,62.506366,2.278062,87.212587,1.845077,88.332727,2.241199,High School
Alaska ,94.049238,0.459143,96.310975,0.54166,97.668337,1.771518,90.1881,1.907813,93.73707,2.259898,94.847973,2.058228,High School
Arizona ,87.672076,0.230258,94.614975,0.180877,91.448343,0.919419,71.336646,0.759321,89.44449,1.108004,92.752385,1.476257,High School
Arkansas ,87.252891,0.287229,89.598644,0.29982,87.358037,0.93929,57.152841,2.322359,89.111904,2.160982,88.127299,2.554534,High School
California ,84.095158,0.090453,95.366631,0.073102,90.695436,0.33497,66.406416,0.255801,88.759609,0.188907,93.640157,0.34758,High School
Colorado ,92.481621,0.180717,96.89977,0.131214,93.127359,0.906203,74.856458,0.770257,90.207153,0.997901,95.791373,1.069969,High School
Connecticut ,90.852907,0.203481,94.77761,0.192753,86.722359,0.974172,74.244747,1.084188,91.478533,1.414209,89.795224,2.036613,High School
Delaware ,90.43983,0.51039,93.188289,0.576057,90.157218,1.207026,62.446334,3.876701,95.967327,1.447804,92.312772,4.044434,High School
District of Columbia ,91.82285,0.597381,99.380279,0.190135,86.252783,1.201271,81.805259,2.799042,96.087192,1.490869,96.984681,1.990417,High School
Florida ,88.438047,0.130302,93.174483,0.110434,84.651794,0.367001,79.462952,0.364654,87.388977,0.787134,89.837016,0.991664,High School
Georgia ,87.893967,0.156344,91.144704,0.185573,88.020413,0.278111,63.885351,1.128121,87.06026,0.728486,91.706513,1.571907,High School
Hawaii ,92.250971,0.394926,97.097237,0.402221,99.261042,0.625248,90.728836,1.838431,89.069704,0.712741,95.833156,0.702504,High School
Idaho ,91.896476,0.324072,94.367311,0.30367,98.320016,1.801969,71.014689,2.032548,91.234424,2.826758,95.709779,1.706489,High School
Illinois ,89.94905,0.150931,94.658255,0.107678,86.495563,0.460137,71.866377,0.77073,90.253274,0.595982,90.883438,1.233995,High School
Indiana ,89.62697,0.215365,91.287807,0.21611,87.251592,0.868355,70.788402,1.519558,85.190705,1.969412,89.172469,1.863768,High School
Iowa ,92.859679,0.250027,94.946666,0.196026,81.365981,2.606393,67.210314,2.823743,78.379988,3.400617,94.907631,2.649084,High School
Kansas ,91.617291,0.303138,95.069349,0.220101,87.890954,1.63503,67.159588,1.79475,82.439123,2.592147,90.21299,1.723791,High School
Kentucky ,87.231875,0.262264,87.735342,0.256698,88.097146,0.990617,69.794244,2.608466,86.497844,2.227267,88.120707,2.108171,High School
Louisiana ,85.986306,0.254402,88.77413,0.280214,82.22869,0.530562,74.382202,1.956761,82.108204,2.227271,88.415294,2.176845,High School
